OG,category
COG0385,General functional prediction only
COG4378,Function unknown
COG4379,General functional prediction only
COG2868,Translation
COG2869,Energy production and conversion
COG0387,Inorganic ion transport and metabolism
COG0413,Coenzyme metabolism
COG0386,"Post-translational modification, protein turnover, chaperone functions"
COG1299,Carbohydrate metabolism and transport
COG1117,Inorganic ion transport and metabolism
COG1116,Inorganic ion transport and metabolism
COG1115,Amino acid metabolism and transport
COG1114,Amino acid metabolism and transport
COG1113,Amino acid metabolism and transport
COG1112,Replication and repair
COG1111,Replication and repair
COG1110,Replication and repair
COG5155,Cell cycle control and mitosis
COG1119,Inorganic ion transport and metabolism
COG1118,Inorganic ion transport and metabolism
COG1287,General functional prediction only
COG1286,General functional prediction only
COG1285,Function unknown
COG1284,Function unknown
COG1283,Inorganic ion transport and metabolism
COG1282,Energy production and conversion
COG1281,"Post-translational modification, protein turnover, chaperone functions"
COG1280,Amino acid metabolism and transport
COG0069,Amino acid metabolism and transport
COG5153,Intracellular trafficing and secretion
COG1289,Function unknown
COG1288,Function unknown
COG0144,Translation
COG4383,Function unknown
COG5107,RNA processing and modification
COG4382,Function unknown
COG3938,Amino acid metabolism and transport
COG0057,Carbohydrate metabolism and transport
COG5627,Replication and repair
COG2008,Amino acid metabolism and transport
COG2009,Energy production and conversion
COG1782,General functional prediction only
COG1480,General functional prediction only
COG2000,General functional prediction only
COG2001,Function unknown
COG2002,Transcription
COG2003,Replication and repair
COG2004,Translation
COG2005,General functional prediction only
COG2006,Function unknown
COG2007,Translation
COG3109,Signal transduction
COG1683,Function unknown
COG4950,Function unknown
COG4951,Function unknown
COG4952,Cell wall/membrane/envelope biogenesis
COG4953,Cell wall/membrane/envelope biogenesis
COG4954,Function unknown
COG4955,Function unknown
COG4956,General functional prediction only
COG4957,Transcription
COG4959,"Post-translational modification, protein turnover, chaperone functions"
COG4150,Inorganic ion transport and metabolism
COG3288,Energy production and conversion
COG2112,Signal transduction
COG3634,"Post-translational modification, protein turnover, chaperone functions"
COG3281,Carbohydrate metabolism and transport
COG3280,Carbohydrate metabolism and transport
COG3283,Transcription
COG3285,Replication and repair
COG3284,Secondary structure
COG3287,Function unknown
COG3286,Function unknown
COG2134,Lipid metabolism
COG2135,Function unknown
COG2136,Translation
COG2137,General functional prediction only
COG2130,General functional prediction only
COG2131,Nucleotide metabolism and transport
COG5609,Function unknown
COG2133,Carbohydrate metabolism and transport
COG5607,Function unknown
COG5606,Function unknown
COG5605,Function unknown
COG5604,Function unknown
COG2138,Function unknown
COG5602,Chromatin structure and dynamics
COG5601,Transcription
COG5600,Replication and repair
COG0402,Nucleotide metabolism and transport
COG1841,Translation
COG0618,General functional prediction only
COG0539,Translation
COG1522,Transcription
COG0403,Amino acid metabolism and transport
COG3631,General functional prediction only
COG2358,General functional prediction only
COG1800,General functional prediction only
COG2259,Function unknown
COG2258,Function unknown
COG3355,Transcription
COG3354,Cell motility
COG3353,Cell motility
COG3352,Cell motility
COG4888,General functional prediction only
COG4889,General functional prediction only
COG4886,Function unknown
COG2250,Function unknown
COG2253,Function unknown
COG4885,Function unknown
COG5626,Function unknown
COG4883,Function unknown
COG4880,General functional prediction only
COG2256,Replication and repair
COG4069,Function unknown
COG3636,Transcription
COG1525,Replication and repair
COG1887,Cell wall/membrane/envelope biogenesis
COG5178,RNA processing and modification
COG1250,Lipid metabolism
COG5371,Carbohydrate metabolism and transport
COG2896,Coenzyme metabolism
COG2878,Energy production and conversion
COG1809,Function unknown
COG2032,Inorganic ion transport and metabolism
COG1700,Function unknown
COG1808,Function unknown
COG3038,Energy production and conversion
COG3039,Replication and repair
COG3033,Amino acid metabolism and transport
COG3030,General functional prediction only
COG3031,Intracellular trafficing and secretion
COG3036,Function unknown
COG3037,Function unknown
COG3034,Function unknown
COG1707,General functional prediction only
COG4778,Inorganic ion transport and metabolism
COG4779,Inorganic ion transport and metabolism
COG1256,Cell motility
COG4770,Lipid metabolism
COG4771,Inorganic ion transport and metabolism
COG4772,Inorganic ion transport and metabolism
COG1705,Cell motility
COG4774,Inorganic ion transport and metabolism
COG4775,Cell wall/membrane/envelope biogenesis
COG4776,Transcription
COG1258,Translation
COG1858,Inorganic ion transport and metabolism
COG2870,Cell wall/membrane/envelope biogenesis
COG1856,Function unknown
COG1857,Replication and repair
COG1854,Signal transduction
COG1855,General functional prediction only
COG3930,Function unknown
COG1853,General functional prediction only
COG1850,Carbohydrate metabolism and transport
COG1851,Function unknown
COG2872,General functional prediction only
COG0709,Amino acid metabolism and transport
COG0708,Replication and repair
COG0259,Coenzyme metabolism
COG0258,Replication and repair
COG0257,Translation
COG0256,Translation
COG0255,Translation
COG0254,Translation
COG0253,Amino acid metabolism and transport
COG0252,Amino acid metabolism and transport
COG0251,Translation
COG0702,Cell wall/membrane/envelope biogenesis
COG3726,General functional prediction only
COG3727,Replication and repair
COG3724,Amino acid metabolism and transport
COG3573,General functional prediction only
COG3722,Transcription
COG3723,Replication and repair
COG3720,Inorganic ion transport and metabolism
COG3721,Inorganic ion transport and metabolism
COG4416,General functional prediction only
COG4413,Amino acid metabolism and transport
COG3729,General functional prediction only
COG1319,Energy production and conversion
COG1093,Translation
COG1210,Cell wall/membrane/envelope biogenesis
COG0659,Inorganic ion transport and metabolism
COG1091,Cell wall/membrane/envelope biogenesis
COG0150,Nucleotide metabolism and transport
COG1979,Energy production and conversion
COG0151,Nucleotide metabolism and transport
COG2201,Cell motility
COG5442,Cell motility
COG5304,Function unknown
COG0073,General functional prediction only
COG5445,Function unknown
COG0514,Replication and repair
COG4667,General functional prediction only
COG5179,Transcription
COG0418,Nucleotide metabolism and transport
COG5447,Function unknown
COG3098,Function unknown
COG5171,Intracellular trafficing and secretion
COG5170,Signal transduction
COG5173,Intracellular trafficing and secretion
COG0412,Secondary structure
COG0148,Carbohydrate metabolism and transport
COG0414,Coenzyme metabolism
COG0417,Replication and repair
